scenario_name,repeat_index,turn_limit,attachment_size_kb,expected_fact,iteration_kind,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,provider,model,latency_budget_score,cost_budget_score,memory_drift_score,iteration_total_turns,iteration_total_tokens_in,iteration_total_tokens_out,iteration_total_cost_usd,iteration_total_latency_ms,iteration_wall_clock_ms
growing,1,1,0,Nimbus,multi_turn,1,01KSHVS0PW0QV3QKTX8S6YNN06,97,0,2,0,0,536,173,0.0001842,3940.1,none,developer,openai,openai/gpt-4o-mini,1.0,1.0,1.0,1,536,173,0.0001842,3940.1,3951.25
growing,2,1,0,Nimbus,multi_turn,1,01KSHVS4JEW8H2X456SKB6XGZT,97,0,2,0,0,536,195,0.0001974,4002.21,none,developer,openai,openai/gpt-4o-mini,0.0,1.0,1.0,1,536,195,0.0001974,4002.21,4012.49
growing,3,1,0,Nimbus,multi_turn,1,01KSHVS8FW19JN43K2FVHFYW5Y,97,0,2,0,0,536,274,0.0002448,7082.25,none,developer,openai,openai/gpt-4o-mini,0.0,1.0,1.0,1,536,274,0.0002448,7082.25,7094.73
growing,1,3,0,Nimbus,multi_turn,1,01KSHVSFDNMYTR15P5X0SCGS2N,97,0,2,0,0,536,183,0.0001902,5118.47,none,developer,openai,openai/gpt-4o-mini,0.0,1.0,1.0,3,2377,674,0.00076095,18917.97,18947.45
growing,1,3,0,SSO,multi_turn,2,01KSHVSFDNMYTR15P5X0SCGS2N,64,0,4,0,0,795,224,0.00025365,6474.23,none,developer,openai,openai/gpt-4o-mini,0.0,1.0,1.0,3,2377,674,0.00076095,18917.97,18947.45
growing,1,3,0,multi-tenant,multi_turn,3,01KSHVSFDNMYTR15P5X0SCGS2N,66,0,6,0,0,1046,267,0.0003171,7325.27,none,developer,openai,openai/gpt-4o-mini,0.0,1.0,1.0,3,2377,674,0.00076095,18917.97,18947.45
growing,2,3,0,Nimbus,multi_turn,1,01KSHVT1XVSA8PV6S162TZZK1N,97,0,2,0,0,536,180,0.0001884,4749.89,none,developer,openai,openai/gpt-4o-mini,0.0,1.0,1.0,3,2360,690,0.000768,18723.7,18763.86
growing,2,3,0,SSO,multi_turn,2,01KSHVT1XVSA8PV6S162TZZK1N,64,0,4,0,0,792,213,0.0002466,6324.59,none,developer,openai,openai/gpt-4o-mini,0.0,1.0,1.0,3,2360,690,0.000768,18723.7,18763.86
growing,2,3,0,multi-tenant,multi_turn,3,01KSHVT1XVSA8PV6S162TZZK1N,66,0,6,0,0,1032,297,0.000333,7649.22,none,developer,openai,openai/gpt-4o-mini,0.0,1.0,1.0,3,2360,690,0.000768,18723.7,18763.86
growing,3,3,0,Nimbus,multi_turn,1,01KSHVTM896FPTQTE10QCS2VX5,97,0,2,0,0,536,180,0.0001884,4159.01,none,developer,openai,openai/gpt-4o-mini,0.0,1.0,1.0,3,2366,661,0.0007515,19530.71,19569.43
growing,3,3,0,SSO,multi_turn,2,01KSHVTM896FPTQTE10QCS2VX5,64,0,4,0,0,792,219,0.0002502,6355.07,none,developer,openai,openai/gpt-4o-mini,0.0,1.0,1.0,3,2366,661,0.0007515,19530.71,19569.43
growing,3,3,0,multi-tenant,multi_turn,3,01KSHVTM896FPTQTE10QCS2VX5,66,0,6,0,0,1038,262,0.0003129,9016.63,none,developer,openai,openai/gpt-4o-mini,0.0,1.0,1.0,3,2366,661,0.0007515,19530.71,19569.43
growing,1,6,0,Nimbus,multi_turn,1,01KSHVV7BXMWGYQ069VJ7SQJP5,97,0,2,0,0,536,196,0.000198,4760.23,none,developer,openai,openai/gpt-4o-mini,0.0,1.0,1.0,6,7182,1340,0.0018813,34289.79,34379.25
